mes,dia_mes,semana_mes,semana_anio,dia_sem,dia_anio,sale
10,31,6,44,44,30,2791
9,26,5,39,39,25,2801
11,28,5,48,48,27,2811
9,5,2,36,36,4,2818
8,7,2,32,32,6,2819
10,24,5,43,43,23,2821
11,1,1,44,44,31,2825
9,18,4,38,38,17,2829
10,10,3,41,41,9,2847
12,8,2,49,49,7,2849
11,27,5,48,48,26,2856
10,11,3,41,41,10,2862
9,25,5,39,39,24,2864
10,10,3,41,41,9,2866
9,5,2,36,36,4,2869
9,5,2,36,36,4,2869
9,5,2,36,36,4,2869
9,26,5,39,39,25,2869
10,11,3,41,41,10,2877
9,1,1,35,35,31,2878
12,12,3,50,50,11,2881
9,1,1,35,35,31,2882
8,28,5,35,35,27,2885
8,28,5,35,35,27,2886
11,13,3,46,46,12,2889
9,7,2,36,36,6,2890
10,12,3,41,41,11,2897
9,14,3,37,37,13,2905
9,22,4,38,38,21,2913
11,13,3,46,46,12,2919
9,28,5,39,39,27,2922
8,4,1,31,31,3,2926
11,20,4,47,47,19,2931
11,7,2,45,45,6,2939
10,30,6,44,44,29,2945
12,7,2,49,49,6,2949
8,4,1,31,31,3,2954
8,15,3,33,33,14,2957
12,15,3,50,50,14,2959
8,29,5,35,35,28,2970
11,30,5,48,48,29,2978
12,11,3,50,50,10,2981
12,6,2,49,49,5,2986
10,24,5,43,43,23,2994
12,12,3,50,50,11,2998
10,23,5,43,43,22,3001
11,20,4,47,47,19,3008
12,1,1,48,48,30,3014
10,3,2,40,40,2,3016
10,5,2,40,40,4,3017
9,7,2,36,36,6,3017
9,11,3,37,37,10,3036
11,30,5,48,48,29,3044
10,23,5,43,43,22,3046
12,12,3,50,50,11,3051
12,1,1,48,48,30,3059
9,29,5,39,39,28,3060
9,29,5,39,39,28,3060
11,10,2,45,45,9,3063
10,6,2,40,40,5,3064
12,6,2,49,49,5,3069
8,14,3,33,33,13,3075
9,15,3,37,37,14,3078
9,15,3,37,37,14,3078
9,11,3,37,37,10,3079
10,16,4,42,42,15,3079
9,8,2,36,36,7,3107
10,31,6,44,44,30,3117.6
10,20,4,42,42,19,3123
9,28,5,39,39,27,3128
8,24,4,34,34,23,3132
9,5,2,36,36,4,3145
10,6,2,40,40,5,3146
11,22,4,47,47,21,3147
9,7,2,36,36,6,3149
9,5,2,36,36,4,3159
12,13,3,50,50,12,3161
10,4,2,40,40,3,3162
10,30,6,44,44,29,3163
11,22,4,47,47,21,3165
9,5,2,36,36,4,3173
10,30,6,44,44,29,3175
9,29,5,39,39,28,3187
11,2,1,44,44,1,3198
9,28,5,39,39,27,3204
11,6,2,45,45,5,3204
9,7,2,36,36,6,3212
9,18,4,38,38,17,3215
9,5,2,36,36,4,3218
10,2,2,40,40,1,3234
10,2,2,40,40,1,3234
10,25,5,43,43,24,3239
12,12,3,50,50,11,3239
