Year,Aruba,Afganistan,Angola,Albania,Andorra,El mundo arabe,Emiratos arabes Unidos,Argentina,Armenia,Samoa Americana,Antigua y Barbuda,Australia,Austria,Azerbaiyan,Burundi,Belgica,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrein,Bahamas,Bosnia y Herzegovina,Belarus,Belice,Bermudas,Bolivia,Brasil,Barbados,Brunei Darussalam,Bhutan,Botswana,Republica Centroafricana,Canada,Europa Central y del Baltico,Suiza,Islas del Canal,Chile,China,Cote dIvoire,Camerun,"Congo, Republica Democratica del","Congo, Republica del",Colombia,Comoras,Cabo Verde,Costa Rica,Estados pequeos del Caribe,Cuba,Curacao,Islas Caiman,Chipre,Republica Checa,Alemania,Djibouti,Dominica,Dinamarca,Republica Dominicana,Argelia,Asia oriental y el Pacifico (excluido altos ingresos),inicial del dividendo demografico,Asia oriental y el Pacifico,Europa y Asia central (excluido altos ingresos),Europa y Asia central,Ecuador,"Egipto, Republica arabe de",Zona del Euro,Eritrea,Espania,Estonia,Etiopia,Union Europea,Fragiles y situaciones de conflicto afectados,Finlandia,Fiji,Francia,Islas Feroe,Micronesia (Estados Federados de),Gabon,Reino Unido,Georgia,Ghana,Gibraltar,Guinea,Gambia,Guinea-Bissau,Guinea Ecuatorial,Grecia,Granada,Groenlandia,Guatemala,Guam,Guyana,Ingreso alto,"Hong Kong, Region Administrativa Especial",Honduras,Paises pobres muy endeudados (PPME),Croacia,Haiti,Hungria,Solo BIRF,BIRF y la AIF,total de la AIF,mezcla de la AIF,Indonesia,Solo AIF,Isla de Man,India,No clasificado,Irlanda,"Iran, Republica Islamica del",Iraq,Islandia,Israel,Italia,Jamaica,Jordania,Japon,Kazajstan,Kenya,Kirguistan,Camboya,Kiribati,Saint Kitts y Nevis,"Corea, Republica de",Kuwait,America Latina y el Caribe (excluido altos ingresos),Republica Democratica Popular Lao,Libano,Liberia,Libia,Santa Lucia,America Latina y el Caribe,Paises menos desarrollados: clasificacion de las Naciones Unidas,Paises de ingreso bajo,Liechtenstein,Sri Lanka,Paises de ingreso mediano bajo,Ingreso mediano y bajo,Lesotho,avanzada del dividendo demografico,Lituania,Luxemburgo,Letonia,"Region Administrativa Especial de Macao, China",Isla de San Martin (parte francesa),Marruecos,Monaco,Republica de Moldova,Madagascar,Maldivas,Oriente Medio y Norte de africa,Mexico,Islas Marshall, Ingreso mediano,Macedonia del Norte,Mali,Malta,Myanmar,Oriente Medio y Norte de africa (excluido altos ingresos),Montenegro,Mongolia,Mariana,Mozambique,Mauritania,Mauricio,Malawi,Malasia,America del Norte,Namibia,Nueva Caledonia,Niger,Nigeria,Nicaragua,Paises Bajos,Noruega,Nepal,Nauru,Nueva Zelandia,Miembros OCDE,Oman,Otros Estados pequeos,Pakistan,Panama,Peru,Filipinas,Palau,Papua Nueva Guinea,Polonia,previa al dividendo demografico,Puerto Rico,"Corea, Republica Popular Democratica de",Portugal,Paraguay,Ribera Occidental y Gaza,Estados pequeos de las Islas del Pacfico,posterior al dividendo demografico,Polinesia Francesa,Qatar,Rumania,Federacion de Rusia,Rwanda,Asia meridional,Arabia Saudita,Sudan,Senegal,Singapur,Islas Salomon,Sierra Leona,El Salvador,San Marino,Somalia,Serbia,africa al sur del Sahara (excluido altos ingresos),Sudan del Sur,africa al sur del Sahara,Pequenios Estados,Santo Tome y Principe,Suriname,Republica Eslovaca,Eslovenia,Suecia,Eswatini,Sint Maarten (Dutch part),Seychelles,Republica arabe Siria,Islas Turcas y Caicos,Chad,Asia oriental y el Pacifico (BIRF y la AIF),Europa y Asia central (BIRF y la AIF),Togo,Tailandia,Tayikistan,Turkmenistan,America Latina y el Caribe (BIRF y la AIF),Timor-Leste,Oriente Medio y Norte de africa (BIRF y la AIF),Tonga,Asia meridional (BIRF y la AIF),africa al sur del Sahara (BIRF y la AIF),Trinidad y Tobago,Tunez,Turquia,Tuvalu,Tanzania,Uganda,Ucrania,Ingreso mediano alto,Uruguay,Estados Unidos,Uzbekistan,San Vicente y las Granadinas,Venezuela,Islas Virgenes Britanicas,Islas Virgenes (EE.UU.),Viet Nam,Vanuatu,Mundo,Samoa,Kosovo,"Yemen, Rep. del",Sudafrica,Zambia,Zimbabwe
1970,,162.6421754,,,3958.59127,349.2005284,,1324.685288,,,,3304.83782,2058.769051,,69.39510885,2765.890997,110.34695,81.68773208,133.1429399,,,3005.784399,,,441.1719391,3387.272727,221.7774646,439.2209162,,1342.994602,,162.5061599,91.47264873,4135.821498,,,,931.1676818,113.1625825,265.7403582,178.4061666,242.0479127,196.8238117,344.3325998,,,530.7063371,746.0281551,641.8533072,,,,,2761.166833,,,3464.455153,331.8907091,352.5338401,114.1882806,228.3833892,317.3466494,,1382.450417,463.7725954,231.2174024,2238.055285,,1212.289326,,,1879.956768,212.4587093,2465.644819,416.7253857,2870.15751,,,542.2083274,2347.730246,,249.9497668,,,98.9086769,133.0716892,209.2771169,1494.387984,,1498.276435,349.0249756,,379.7175795,2741.907995,960.0319615,259.814651,151.5025629,,70.75695408,,243.9231822,229.5065053,157.3461729,201.9269224,79.41345543,140.4069405,,111.9683181,,1486.514527,385.8122656,334.441203,2576.353444,,2106.863959,755.5953109,410.6397984,2056.122044,,139.7572735,,107.0877962,248.8862501,362.4799856,279.3049689,3579.582673,562.2443201,,,,,,613.2012376,,,4272.339171,185.3671328,143.8885844,219.6632573,67.16292001,259.2179437,,4298.033897,,,,257.7296448,12075.56111,,167.45501,,405.6825248,706.3131864,,225.9609323,,58.46546333,828.4216803,21.22087165,293.2405752,,,,,275.7136582,,,374.9228803,5130.399802,,3203.711462,139.1771437,225.7739996,318.4638613,2927.072939,3306.237988,69.27090357,,,2623.289193,382.1715678,286.0111057,169.1240002,891.0546713,548.0032346,201.9232587,,259.3623596,,180.0375754,1852.354673,,934.0821561,246.850847,,,2788.60414,2154.837948,2557.401693,,,56.43719039,118.9782628,880.6257198,143.383728,297.0429711,925.7978637,,156.343877,313.0400183,,86.69766278,,228.8550412,,228.8648012,460.2190933,,723.577193,,,4736.207995,253.2147611,,343.8811821,281.6978406,,127.9564553,115.5981366,,157.066054,197.9937496,,,596.1825175,,290.6231524,,118.9782628,228.8648012,831.0833354,285.1442239,488.0458507,,,122.0828658,,289.7198876,765.911759,5234.296666,,187.3876435,1018.108984,,,,,812.2222117,,,,948.5917942,426.3021877,362.1441468
1971,,166.2248313,,,4193.161414,392.3528487,,1374.424233,,,,3495.141628,2380.978458,,70.58552331,3082.927989,108.4947187,84.51798789,127.9954477,,,3108.954374,,,479.9269073,3866.300366,233.6946457,494.8027499,,1424.471319,,210.9591603,95.41896078,4535.346032,,,,1089.342664,118.6541489,277.0004113,186.6419301,270.1097535,223.6753159,365.3459511,,,565.2875343,799.6753787,766.1069507,,,,,3192.133616,,,3845.486428,362.2951315,359.8217742,119.5177015,241.2768501,343.0224257,,1547.009064,433.6710043,242.1332786,2522.33181,,1362.165524,,,2114.104989,210.6241116,2716.190092,460.5006091,3180.33744,,,626.0315816,2649.671014,,265.3574433,,,102.3827215,132.1108915,208.1953466,1652.325956,,1876.504338,355.0903711,,395.0811314,3008.293256,1106.469717,254.9258046,158.5289893,,76.115779,,260.1145067,241.9121667,154.0565892,182.7124352,78.86575674,144.8487705,,118.1605353,,1703.932183,469.083558,380.6375126,3252.099178,,2305.609751,816.4080233,414.4419979,2272.077844,,149.4640262,,144.8423675,261.0170407,440.1845199,301.1765677,4518.739579,607.1319409,,,,,,667.3610486,,,4874.740487,187.2282847,148.5627096,230.8407129,72.15945778,281.4921782,,4435.398008,,,,276.5081482,13313.75408,,175.3548966,,466.8465628,755.3324877,,237.2590494,,63.25645753,874.0663356,20.03866443,327.3961986,,,,,290.1939248,,,402.2148715,5506.267649,,3449.881481,144.5828378,161.5439014,328.0840178,3378.614797,3736.345841,69.10171851,,2772.918597,2867.302452,437.0053369,332.6959579,175.19892,977.4514583,595.8598297,217.9774755,,281.5462419,,170.9221656,2044.319906,,1064.537713,269.7368425,,362.6394532,3057.72467,2431.171693,2912.958428,,,55.52431571,123.8484566,1123.214056,151.8904266,297.7691437,1071.41154,282.3860616,148.1254802,319.880475,,86.71318644,,227.1675995,,227.1893531,508.2061783,,767.8062169,,,5132.706353,299.9740537,,401.6080401,320.8129752,,134.0981086,120.9909121,,171.7449735,200.3640681,,,646.6026563,,324.4739077,,123.8484566,227.1893531,896.6485813,325.1930414,448.6160199,,,133.4915726,,306.7111092,1000.629503,5609.3826,,201.1246355,1109.42701,,,,,878.5926201,,,,1016.483483,383.4161493,406.2175033
1972,,141.3653223,,,4967.344043,454.7324802,,1411.176664,,,,3949.461643,2924.048879,,68.95532974,3831.6319,129.999625,99.66706549,90.67836556,,,3123.463773,,,527.7566149,4343.173432,262.341899,577.4515372,,1882.20393,,262.4649937,106.9448796,5106.73708,,,,1166.375986,131.8855322,309.2651081,220.0248077,290.2079688,276.4939418,395.9876223,,,633.1996601,911.4536236,887.2171977,,,,,3809.981445,,,4654.304518,420.6314721,468.6192604,132.2451159,257.6025296,415.7482029,,1838.414726,487.628965,255.971414,3026.310715,,1708.808629,,,2533.806638,235.7542586,3177.645701,577.92728,3865.9254,,,691.8141856,3030.504708,,225.5289457,,,105.5396644,147.164743,214.2676503,1899.675784,,2196.714346,367.1188811,,395.2677618,3454.038744,1384.734346,271.6476817,167.9504375,,76.65155649,,286.2924958,263.6665338,157.0949837,199.8547393,90.51205917,140.9003516,,122.6124534,,2080.465147,569.6634544,391.5222873,4014.8266,,2671.137314,979.035956,462.5088822,2967.041996,,171.0050917,,74.71591021,317.6949795,516.5897225,324.1962768,4870.446177,673.915672,,,,,,732.5763802,,,5712.078332,197.757935,157.4624483,252.4850304,73.74232436,316.4754268,,5486.720628,,,,313.9982605,16170.20906,,190.2671334,,549.9578339,844.1728823,,259.8138355,,76.66695541,975.7588009,22.22352853,380.5158233,,,,,328.7538521,,,466.9066263,5999.126802,,4038.318701,150.7778547,210.9954798,337.4985097,4104.45103,4413.54275,78.46162552,,3294.604756,3287.721232,518.1641694,394.1442377,150.6172113,1044.15554,642.9563698,230.074743,,328.939347,,193.7035368,2246.476714,,1302.266268,304.9919661,,427.0007451,3514.144924,2581.379902,3439.863814,,,59.59451835,121.8149872,1437.210494,159.9703522,349.8163142,1264.375107,223.2659177,161.2189057,332.7234684,,106.4108048,,248.7283995,,248.7738476,587.5429374,,784.722624,,,6027.107408,313.8666686,,546.9510613,356.9019876,,153.0770052,133.8755192,,195.7174921,216.1492297,,,708.5680484,,377.1193943,,121.8149872,248.7738476,1069.455842,420.581267,549.3997036,,,136.9676761,,341.2482376,776.0907285,6094.01799,,273.551984,1158.859765,,,,,993.0313294,,,,1034.491821,413.9235442,483.9699742
1973,,149.7440685,,,6183.805741,560.6362414,,2100.030587,,,,4770.714415,3890.722419,,85.21464379,4900.962201,156.2803494,114.2185237,113.6657027,,,3466.05498,,,616.4711591,5009.29368,257.6304821,806.3545127,,2905.414332,,371.4349203,123.4949062,5858.391831,,,,1632.389441,157.0891484,400.8745244,271.6785433,360.1296474,353.7525806,460.6007113,,,762.0825202,985.6325581,1074.18706,,,,,5046.755103,,,6119.370223,483.346021,588.9071966,162.5640815,321.6281224,535.7750163,,2316.777812,579.0921152,272.0453531,3903.885107,,2247.553377,,,3258.716725,282.4510729,4173.173047,764.3879185,4984.196684,,,1137.721319,3426.520112,,311.9959837,,,130.1979753,148.1661021,272.4483372,2502.814745,,2860.280577,438.5448512,,420.6909758,4138.567884,1893.181242,299.5027758,201.9039608,,94.48014051,,362.9695773,329.6961187,177.3714703,207.4865411,130.4897437,168.1063369,,143.456125,,2424.269047,874.1135953,472.2500125,5437.091172,,3205.25204,979.745005,533.9915939,3974.746092,,196.6239664,,102.5776748,523.2954508,546.90155,406.8988301,5573.053457,880.1768405,,,,,,951.2911193,,,7457.141887,218.3509815,187.5778652,314.7197403,106.714856,399.6100102,,7447.213018,,,,376.7793274,20857.01598,,227.4263881,,723.7793811,1000.941723,,324.6335906,,87.32165167,1143.620203,22.87092841,491.9320699,,,,,401.8696364,,,692.6815964,6642.698823,,4220.182101,187.0554753,254.3873472,407.3809475,5345.575444,5689.555915,72.893253,,4323.196535,3928.254373,663.0095408,558.3314995,99.29793153,1162.283885,749.2022469,282.4427828,,486.1562776,,232.7237315,2432.414219,,1747.989041,385.3929861,,570.8687287,4206.075051,3294.94998,4848.630396,,,68.25853965,136.0649587,2108.625411,192.1835938,390.4826826,1685.459796,295.863892,195.5014765,370.7154532,,126.0532259,,312.430394,,312.4787986,718.2394051,,856.4810726,,,7301.215426,461.6806116,,648.5319241,368.2960538,,165.4012768,164.566712,,231.0311126,278.8200198,,,927.8235086,,487.5411558,,136.0649587,312.4787986,1274.920039,499.8150445,676.4547697,,,152.6828244,,435.9795317,1397.44131,6726.358956,,295.9565701,1371.094578,,,,,1188.118496,,,,1364.205868,523.1257369,579.2964182
1974,,181.598776,,,7174.447718,1034.688767,,2846.266307,,,,6482.831082,4630.757197,,94.33346268,5733.798139,168.012266,124.8115376,171.5262053,,,3197.702347,,,802.0561613,5853.932584,418.8967523,1034.16443,1268.266728,6957.189699,,442.536039,125.6634116,7056.582022,,,,1547.797562,160.1476807,468.8026281,299.8619033,427.5117054,370.4183027,540.2261889,,,809.6960523,1266.1946,1211.71041,,,,,5639.077621,,,6770.750028,587.6572891,871.7314622,180.0019818,438.345605,604.5851064,,2598.317256,954.8751225,243.3132672,4402.598517,,2749.924663,,,3667.838355,410.3507258,5297.607817,986.3873603,5345.896035,,,2379.66351,3666.236108,,291.8052289,,,161.0277182,158.4014281,324.0656348,2828.748559,,3432.706033,527.4176971,,588.2526192,4622.31406,2144.614817,329.8221383,233.9579214,,112.3908584,,447.8971129,409.0625571,230.321313,290.8741466,201.6676706,207.5000468,,163.2316156,,2516.927686,1448.763707,1024.336304,7040.436646,,3621.145822,1202.666681,655.2285376,4353.824355,,224.9295883,,85.11632666,1404.970623,715.3363062,563.3559578,12622.86652,1128.676021,,,,,,1204.212479,,,8568.798699,266.3968505,240.1133459,390.4513773,128.3437931,461.2151976,,8966.728959,,,,452.0603638,22323.63513,,255.9429827,,1313.42915,1264.361514,,403.1539732,,82.01019211,1245.361225,33.63001149,730.0944747,,,,,484.8416481,,,837.7634723,7209.087907,,4865.675418,197.4639686,406.2701421,549.3983707,6440.97842,6811.517091,89.38255121,,4610.491768,4354.342633,2180.959486,1005.453561,134.5321801,1294.338833,920.387869,377.1083496,,536.8642189,,319.6615596,2614.500941,,2000.418246,503.5627284,,795.4855768,4658.350549,4103.028792,13393.28846,,,70.32204158,161.0409288,6068.408567,238.7693329,427.4374427,2341.705514,439.9538512,216.2803436,418.1374275,,113.3294939,,390.4905208,,390.5370188,1093.908593,,1038.859979,,,8089.869029,534.3876148,,744.5069419,585.8838051,,163.1104043,182.2132691,,310.8109937,343.4252786,,,1184.557886,,723.5777576,,161.0409288,390.5370188,1962.913415,631.710778,916.0207934,,,183.6560042,,534.2901668,1433.356771,7225.69136,,319.7996734,2039.737534,,,,,1343.084977,,,,1650.482891,607.8425901,674.53903
1975,,194.6690362,,,7963.562944,1108.022767,27090.34007,2026.570709,,,,7003.842471,5285.620724,,112.2861073,6701.377361,200.3343115,153.1288225,260.3515161,,,2953.22492,,,903.6172931,6509.433962,468.9552842,1188.619532,1627.660387,7317.772332,,487.9160295,165.7933969,7536.821932,,,,716.3446001,178.3395768,568.1135072,386.2209426,444.0840558,472.0820704,559.6814415,,,928.505086,1463.422035,1369.245073,,,976.3342285,,6236.358881,,,7999.112667,704.833669,989.3930797,198.4860221,459.9377102,649.8995928,,3013.579245,1088.081918,299.9871999,5079.414747,,3209.837445,,,4247.118878,449.8410395,6255.544641,1188.394629,6717.439489,,,3252.619979,4299.354057,,275.2348892,,,187.9230648,165.2212817,368.1949693,3153.235776,,4257.912662,594.6518041,,663.6243333,5110.506549,2252.127093,347.8119872,260.0976661,,132.9675133,,474.3189136,437.9586293,267.6780978,325.1289116,232.1706348,247.5390152,,157.929385,,2973.400123,1575.806074,1158.457106,6454.177152,,4106.993868,1428.01224,722.4896179,4674.445481,,238.7464767,,,907.8515071,760.2090617,617.4560619,10969.72608,1188.684804,,,,,,1233.752249,,,10698.61355,277.4890863,259.0227608,423.2117854,122.9743503,498.6069225,,8701.304731,,,,516.6026611,27892.29722,,295.6988637,,1409.069816,1499.355567,,436.2293795,,124.2222546,1560.112154,37.18938158,825.6854458,,,,,540.0479083,,,800.3824427,7775.562905,,6163.412583,196.4025697,441.9785958,553.4983535,7335.508997,8204.386111,113.1582072,,4171.76974,4829.966158,2663.510133,1094.504775,164.8480958,1403.733812,1096.471563,398.0532228,,485.4612508,,355.0018692,2738.243153,,2127.637507,556.7615863,,871.2150437,5178.627315,4936.770226,12883.17643,,,126.6373788,168.4462282,5922.49154,280.1545105,560.7036718,2489.911575,377.1504733,222.3019633,462.1621728,,168.1177012,,418.2123317,,418.2634551,1219.702605,,1187.085126,,,10117.32699,565.8097754,,806.2326445,742.5187676,,211.6990246,200.9196581,,334.2580404,363.8065632,,,1209.134837,,818.3154976,347.7512299,168.4462282,418.2634551,2317.486606,750.375049,1125.01666,,,201.139187,,579.4146618,1232.013699,7801.456664,,319.9609984,2084.38407,,,,,1468.781352,,,,1664.480557,495.3455283,716.949515
1976,,205.6740967,,,7758.724021,1331.696581,31282.7676,1946.329391,,,,7486.684973,5678.386658,,117.0518785,7243.047341,201.832907,155.7549903,132.4574854,,,3115.53839,,,727.4555633,7261.278195,520.9380387,1376.347928,1755.165984,8621.124894,,485.4037627,194.6007529,8838.693384,,,,956.848647,165.4042325,652.702808,381.4266016,407.8874106,453.0691998,641.5507204,,,1113.036426,1490.407215,1436.285607,,,1157.411621,,6634.856899,,,8787.553381,754.7774565,1074.405245,198.2535995,490.4587042,702.7221831,,3110.611248,1244.727532,335.8463339,5277.951958,,3279.312671,,,4422.50137,516.5560419,6739.690713,1183.996261,6899.069578,,,4434.341159,4138.094675,,263.1318545,,,177.5469029,160.3194349,375.5545288,3390.544976,,4844.656294,696.222016,,603.0630891,5521.846182,2850.01461,404.2204303,268.7382531,,168.3152885,,504.1785885,462.495497,270.7721663,381.0498539,277.0507928,223.6269553,,161.1372361,,2919.583087,2011.027287,1479.649934,7583.205921,,4033.099354,1461.474904,878.3525252,5197.622337,,246.3818155,,,681.6517524,688.0567511,834.134208,11235.742,1264.234053,,,,,,1322.023543,,,11636.88661,258.1794369,278.8965223,445.2940109,117.5189696,528.836205,,9490.690312,,,,537.8085327,28393.69495,,274.2665196,,1722.803798,1470.191055,,459.4407499,,137.9665952,1726.559448,37.34791764,987.1629671,,,,,577.7006605,776.6414283,,927.8051595,8615.886088,,5957.563617,193.9486119,561.5500999,623.2158327,7925.688062,8927.174361,102.0880958,,4373.840998,5187.581619,3106.757761,1325.590558,187.4969066,1454.779187,1019.280309,445.8041446,,529.3867556,,405.2791148,2946.461953,,2173.283934,610.560506,,855.8441638,5580.338925,5072.798561,15566.01598,,,137.2042717,160.7101955,7693.394201,336.4105225,553.8833959,2758.94038,407.1931893,191.108714,558.7572746,,186.2752597,,438.6533331,,438.7001407,1362.830344,,1298.714645,,,10868.29656,518.6913482,,814.474738,827.1559853,,208.0313119,200.6801003,,327.5447591,405.5478917,,,1296.662405,,978.351694,316.4359516,160.7101955,438.7001407,2341.888058,760.234987,1266.13842,,,203.1759136,,604.5174746,1268.433763,8592.253537,,313.1807846,2316.030922,,,,,1568.573931,,,,1554.002408,539.9677898,686.7217301
1977,,232.7786988,,,8206.985726,1485.099053,35186.23204,2125.53222,,,1208.677164,7775.577645,6810.627685,,139.4132637,8426.946959,211.4928828,176.2974699,123.5144934,,,3386.626388,,,863.9110609,8370.786517,601.6939266,1547.694206,1983.063842,10159.01244,,559.6565906,216.6045053,8949.109893,,,,1273.087681,185.4204992,844.8156259,435.3905635,508.9127897,448.5010855,796.5561923,,,1380.475197,1712.863803,1468.709342,,,1476.271484,,7682.953775,,635.8701922,9783.865605,854.9928677,1223.991887,225.1799876,534.9418108,824.4969539,,3501.107561,1468.874206,354.8976152,5979.396152,,3627.590663,,,4984.861261,554.3130448,7069.105738,1200.591877,7566.662559,,,4042.630238,4681.668593,,294.6219343,,,211.8206847,153.9955199,383.1847212,3886.374451,742.1907752,5713.962852,854.6366442,,590.8760169,6201.455689,3429.420276,485.1615113,307.4912152,,177.8795592,,560.5486839,511.3065677,288.3080742,389.9549557,332.2820539,245.7989048,,186.4190959,,3427.073436,2311.01543,1599.824738,9957.254436,,4603.599701,1581.434834,1045.557949,6335.286871,,308.3125595,,,646.9259913,1020.487038,1055.880041,11335.08933,1340.391572,,,,,,1418.638259,,,12750.20458,289.8859036,310.7069564,490.3994072,149.3431496,604.2352266,,10486.33579,,,,604.3435059,30914.21871,,287.8449704,,1938.301338,1315.599214,,505.2983666,,151.3752975,2037.897337,31.70221744,1107.307386,,,,,578.4501438,893.9138251,,1075.33911,9403.387829,,6158.971525,228.7911417,541.156246,732.8839739,9166.808195,10266.12067,95.0075015,,4950.350085,5796.595622,3164.870106,1453.463707,208.7761202,1501.943289,896.4721661,499.1007318,,562.3669029,,435.2106049,3208.771356,,2267.371003,733.4654067,,874.1634413,6266.023267,5323.21555,15923.99294,,,156.0968586,181.8925391,8473.700102,403.8614807,553.4819299,2846.335988,441.5893169,218.0760482,691.0613365,,112.0463676,,467.9698868,,468.0531742,1514.271558,,1662.735543,,,11448.51295,560.6570189,,1044.353068,857.1459346,,220.6792997,227.9306357,,401.6052832,461.6609967,,,1393.224252,,1097.423721,356.1862958,181.8925391,468.0531742,2901.624276,838.5881706,1417.785883,,,237.4008025,,661.4778648,1414.303038,9452.576519,,467.8069162,2592.914389,,,,,1743.366629,,,,1666.495218,480.6337845,676.3292022
1978,,255.0456222,,,9456.016728,1592.481741,29526.63926,3280.374868,,,1366.092143,8252.652035,8205.468977,,151.0679915,10289.76842,255.3923872,224.3285528,166.0064224,,,3871.339807,,,981.048419,8876.865672,685.0401867,1716.707728,2202.644953,11020.68022,,695.092472,258.0683552,9154.760931,,,,1435.841282,156.3963885,1025.933653,581.8907065,614.5296045,502.9580189,930.4062021,,,1541.069635,1736.624601,1833.990853,,,1929.403564,,9482.04285,,788.2421639,11825.965,861.5138042,1495.209103,214.8959136,601.1213688,1024.325099,,4244.094182,1545.823686,356.2506611,7291.47511,,4356.43922,,,6045.022542,603.259544,7628.815714,1351.455784,9299.747373,,,3355.374008,5976.885651,,328.0840926,,,255.3338785,154.4284713,,4694.633782,921.8397292,7235.516941,925.1257454,,659.7372656,7369.433859,3923.971658,872.3721296,353.4115667,,179.4547354,,609.5430466,556.6275067,317.9672026,411.4102449,364.2857906,280.4057358,,206.0737493,,4399.986805,2166.890348,1853.574005,11236.7012,,5610.498099,1271.110918,1257.649977,8820.693343,,351.5335179,,,760.315061,1137.313547,1405.822374,11664.94239,1588.904696,,,,,,1661.990631,,,18050.48824,189.6093475,334.2924379,534.5224726,200.2459409,619.6942444,,13034.38821,,,,705.1932983,37680.70408,,316.2872568,,2010.554891,1600.762549,,550.0767093,,172.8705344,2558.740255,28.48834985,1158.790381,,,,,565.9289631,1087.702573,,1304.067527,10427.54823,,6152.761398,305.3801032,532.2174337,680.0927137,11179.38956,11462.59459,107.7431176,,5936.98526,6896.587878,3002.247491,1562.371659,238.1558325,1737.554765,750.7823277,561.3817507,,653.7370489,,476.4389082,3567.752629,,2457.313216,875.3533728,,992.2130511,7477.737201,6540.504346,16632.189,,,184.0141669,202.2589185,8714.627833,421.1397095,603.758342,3193.905657,508.8494353,296.9628523,719.6466508,,118.254747,,507.3241464,,507.4576961,1593.617729,,1925.972479,,,12620.58844,608.0116231,,1376.546579,992.9914615,,258.2416937,217.5146648,,415.8721823,548.0111236,,,1631.091602,,1148.447187,431.9730603,202.2589185,507.4576961,3248.617697,954.2095614,1540.391989,,,190.5417304,,725.1187711,1678.237554,10564.94822,,572.7321386,2735.433885,,,,,2025.853263,,,,1846.851738,521.3962859,664.432526
1979,,284.7555317,,,12054.02044,2085.997913,34372.384,2510.585576,,,1688.309351,9294.359247,9793.765348,,189.1259412,11810.61588,317.8204172,259.0365066,190.0357917,,,5194.46237,,,1070.348251,9613.3829,788.0636219,1853.019691,2656.647349,15409.82863,,917.5943986,293.1666507,10077.29194,,,,1929.007223,183.9831522,1143.385842,718.0313329,581.730373,670.3599147,1092.304564,,,1717.784647,1974.780393,2003.582846,,,2559.259766,,11281.02332,,756.0707851,13752.10787,977.4143146,1829.897314,245.0095715,687.9424133,1095.517962,,5157.073943,1789.231164,422.696046,8795.164105,,5770.214614,,,7274.666247,739.7714932,9332.245264,1621.494097,11213.02362,,,4149.96017,7805.073396,,349.1091855,,,297.9373661,144.2772197,,5705.949371,1073.521789,8480.761995,1027.083697,,684.8964857,8448.257447,4569.484154,967.6596884,379.4004256,,195.1801732,,697.3400994,635.4907709,359.4228812,489.5928911,355.2359511,303.9331457,,224.5754377,,5429.962001,2429.561772,2857.559591,12640.64081,,6990.285807,1150.990168,1530.049493,9103.564756,,399.1130806,,,712.9772687,1359.599352,1783.622313,17524.35911,1707.465045,,,,,,1822.624977,,,20440.89635,229.190922,381.7132753,606.7565198,211.9447196,726.597122,,15204.33082,,,,825.6427002,45088.25719,,398.4641884,,2562.606376,2039.164795,,626.3273249,,221.0315173,3195.552586,28.01570237,1406.28997,,,,,650.4214823,1275.034142,,1647.631074,11518.72072,,7561.196566,352.3007292,667.9817219,487.6939356,12798.54325,13046.6231,121.4845446,,6667.832543,7888.978539,3875.381502,1979.370585,254.3477606,1937.715489,935.2153951,662.0465433,,754.0541749,,579.1009212,4024.50942,,2755.624618,1139.14806,,1188.669151,8536.710419,7662.774195,21634.62099,,,218.6173381,221.3643486,11553.24137,419.5395508,734.0995425,3900.533553,669.9992039,336.1701032,781.3236783,,109.1588589,,587.452481,,587.6836972,1937.421115,,2073.605715,,,14877.22213,711.6206844,,2030.135903,1154.51385,,228.1012321,247.9890023,,438.8801009,611.5190953,,,1787.432825,,1393.73763,462.8417094,221.3643486,587.6836972,4137.710375,1120.424108,2069.874318,,,164.3948193,,825.5276799,2441.973478,11674.18187,,665.1855282,3266.785346,,,,1033.94052,2302.877791,,,,2196.69851,603.847722,777.8830088
